rank,design,seq,theozyme_rmsd,n_atoms,tz_plddt,global_plddt,cif
268,42,5,5.3590,24,53.4,87.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_42-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
269,35,4,5.3750,24,69.3,89.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
270,49,7,5.3867,24,64.4,88.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_49-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
271,12,3,5.4289,24,67.6,91.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_12-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
272,35,1,5.4646,24,56.1,86.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
273,24,3,5.5006,24,40.2,85.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
274,49,2,5.5061,24,71.3,90.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_49-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
275,48,5,5.6307,24,61.7,82.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
276,41,4,5.6371,24,48.3,81.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_41-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
277,18,1,5.6664,24,65.4,87.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_18-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
278,35,7,5.6681,24,57.7,87.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
279,11,5,5.6741,24,57.0,82.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_11-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
280,31,5,5.6995,24,51.9,87.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
281,35,5,5.7462,24,59.9,85.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_35-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
282,29,3,5.7880,24,72.7,91.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_29-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
283,30,4,5.8011,24,50.5,86.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
284,33,7,5.9615,24,42.2,82.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
285,24,7,5.9768,24,42.1,82.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
286,30,7,5.9879,24,65.9,90.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
287,24,0,5.9889,24,48.7,84.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
288,31,7,6.0180,24,67.7,90.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
289,8,1,6.0617,24,53.0,83.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_8-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
290,38,4,6.1016,24,69.6,85.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq4/outputs/boltz_results_config/predictions/config/config_model_0.cif
291,46,1,6.2228,24,55.0,84.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_46-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
292,38,0,6.2254,24,67.0,82.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_38-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
293,24,1,6.2435,24,53.0,87.0,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
294,26,1,6.2582,24,64.3,85.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_26-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
295,31,0,6.2592,24,49.8,87.2,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq0/outputs/boltz_results_config/predictions/config/config_model_0.cif
296,33,5,6.2826,24,56.3,85.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_33-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
297,30,1,6.3024,24,50.7,86.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_30-atomized-bb-False_seq1/outputs/boltz_results_config/predictions/config/config_model_0.cif
298,24,5,6.3132,24,48.3,82.6,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
299,32,2,6.4006,24,53.6,83.1,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_32-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
300,48,7,6.6917,24,61.2,88.7,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_48-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
301,24,2,6.8306,24,47.1,81.8,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_24-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
302,43,7,6.9393,24,47.3,82.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_43-atomized-bb-False_seq7/outputs/boltz_results_config/predictions/config/config_model_0.cif
303,10,2,6.9768,24,58.7,87.3,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_10-atomized-bb-False_seq2/outputs/boltz_results_config/predictions/config/config_model_0.cif
304,1,3,7.1540,24,53.2,83.4,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_1-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
305,37,5,7.1629,24,55.9,84.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_37-atomized-bb-False_seq5/outputs/boltz_results_config/predictions/config/config_model_0.cif
306,31,6,7.6779,24,49.3,87.9,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_31-atomized-bb-False_seq6/outputs/boltz_results_config/predictions/config/config_model_0.cif
307,47,3,9.9234,24,57.9,89.5,/data/fast/projects/protos/data/models/boltz2/20260203_placement_00_production/rhodozyme_00_47-atomized-bb-False_seq3/outputs/boltz_results_config/predictions/config/config_model_0.cif
